spectra names,source,Class,SubClass,Type,Date,Brightness,wkt
SN_Conifer_Soil_29,C:\Users\91908\Downloads\_11_S_LA_2019_7_31.tif,Sierra Nevada (SN),Conifer,Soil,"PyQt5.QtCore.QDate(2019, 07, 01)",0.244688889,Point (-118.66069596703270861 36.74349309271096331)
SN_Hardwood_Rock_1,C:\Users\91908\Downloads\_11_S_LA_2019_7_31.tif,Sierra Nevada (SN),Hardwood,Rock,"PyQt5.QtCore.QDate(2019, 07, 01)",0.112477778,Point (-118.64338847874802241 36.17450534254419381)
SN_Hardwood_Rock_3,C:\Users\91908\Downloads\_11_S_LA_2019_7_31.tif,Sierra Nevada (SN),Hardwood,Rock,"PyQt5.QtCore.QDate(2019, 07, 01)",0.116044444,Point (-118.64316640083156074 36.1745105359914092)
SN_Hardwood_Soil_14,C:\Users\91908\Downloads\_11_S_LA_2019_7_31.tif,Sierra Nevada (SN),Hardwood,Soil,"PyQt5.QtCore.QDate(2019, 07, 01)",0.202277778,Point (-118.69278384387556002 36.1591910181837406)
SN_Hardwood_Soil_15,C:\Users\91908\Downloads\_11_S_LA_2019_7_31.tif,Sierra Nevada (SN),Hardwood,Soil,"PyQt5.QtCore.QDate(2019, 07, 01)",0.195911111,Point (-118.6929042319092531 36.15921752461714078)
SN_Conifer_Soil_34,C:\Users\91908\Downloads\_11_S_LB_2018_7_6.tif,Sierra Nevada (SN),Conifer,Soil,"PyQt5.QtCore.QDate(2019, 10, 01)",0.2154,Point (-119.07543668086445621 37.28163833341587718)
SN_Conifer_Water_1,C:\Users\91908\Downloads\_11_S_LB_2019_10_24.tif,Sierra Nevada (SN),Conifer,Water,"PyQt5.QtCore.QDate(2019, 10, 01)",0.022844444,Point (-119.09325851697069254 37.18474443874379887)
SN_Conifer_PV_123,C:\Users\91908\Downloads\_11_S_LA_2020_1_14.tif,Sierra Nevada (SN),Conifer,PV,"PyQt5.QtCore.QDate(2020, 04, 01)",0.166144444,Point (-118.41337826310211767 36.45446760578407464)
SN_Conifer_PV_124,C:\Users\91908\Downloads\_11_S_LA_2020_1_14.tif,Sierra Nevada (SN),Conifer,PV,"PyQt5.QtCore.QDate(2020, 04, 01)",0.152766667,Point (-118.41326374664748755 36.45463167453646491)
SN_Conifer_PV_134,C:\Users\91908\Downloads\_11_S_LA_2020_1_14.tif,Sierra Nevada (SN),Conifer,PV,"PyQt5.QtCore.QDate(2020, 04, 01)",0.184033333,Point (-118.41639529462018743 36.45469624417111021)
SN_Conifer_Rock_1,C:\Users\91908\Downloads\_11_S_LA_2020_1_14.tif,Sierra Nevada (SN),Conifer,Rock,"PyQt5.QtCore.QDate(2020, 04, 01)",0.130822222,Point (-118.41877798728917526 36.45511540058365796)
SN_Conifer_Rock_4,C:\Users\91908\Downloads\_11_S_LA_2020_1_14.tif,Sierra Nevada (SN),Conifer,Rock,"PyQt5.QtCore.QDate(2020, 04, 01)",0.086566667,Point (-118.41882656559315024 36.45225379539017041)
SN_Conifer_Rock_5,C:\Users\91908\Downloads\_11_S_LA_2020_1_14.tif,Sierra Nevada (SN),Conifer,Rock,"PyQt5.QtCore.QDate(2020, 04, 01)",0.0828,Point (-118.40916617511742004 36.45451741600059847)
SCM_Hardwood_Soil_29,E:\Personal\USA\2. CU Boulder\Earth Lab\Images\SCCCW\2020\1\_11_S_MT_2020_1_24.tif,Southern and central California chaparral/oak woodlands (SCCCW),Hardwood,Soil,"PyQt5.QtCore.QDate(2019, 10, 01)",0.0908,Point (-117.38870122436362919 33.59767214115345979)
SCM_hardwood_NPV_116,E:\Personal\USA\2. CU Boulder\Earth Lab\Images\SCCCW\2020\1\_11_S_LV_2020_1_14.tif,Southern and central California chaparral/oak woodlands (SCCCW),Hardwood,NPV,"PyQt5.QtCore.QDate(2020, 01, 01)",0.161144444,Point (-118.61247177457659063 35.91087548992043565)
CBR_Confier_NPV_28,C:\Users\91908\Downloads\_11_S_LC_2018_4_27.tif,Central Basin and Range (CBR),Conifer,NPV,"PyQt5.QtCore.QDate(2018, 04, 01)",0.161933333,Point (-119.15458950773204094 37.95890296315168655)
CBR_Confier_PV_127,E:\Personal\USA\2. CU Boulder\Earth Lab\Images\SCCCW\2020\4\_11_S_LC_2020_4_26.tif,Central Basin and Range (CBR),Conifer,PV,"PyQt5.QtCore.QDate(2020, 04, 01)",0.152811111,Point (-118.92782830867142252 38.1998359307653601)
MBR_Conifer_Rock_4,,Mojave Basin and Range (MBR),Conifer,Rock,"PyQt5.QtCore.QDate(2020, 07, 01)",0.127688889,
MBR_Conifer_Rock_5,,Mojave Basin and Range (MBR),Conifer,Rock,"PyQt5.QtCore.QDate(2020, 07, 01)",0.144277778,
MBR_Conifer_Water_2,C:\Users\91908\Downloads\output_dir\11_S_MA_2018_4_29.tif,Mojave Basin and Range (MBR),Conifer,Water,"PyQt5.QtCore.QDate(2018, 04, 01)",0.114888889,Point (-117.07592800991103843 36.18378392348878236)
MBR_Shrubland_Soil_5,C:\Users\91908\Downloads\output_dir\ 11_S_MA_2018_10_26.tif,Mojave Basin and Range (MBR),Conifer,Soil,"PyQt5.QtCore.QDate(2018, 10, 01)",0.234211111,Point (-117.04859433084558873 36.45515332174363721)
MBR_Conifer_Rock_8,E:\output_dir\11_S_MA_2019_1_24.tif,Mojave Basin and Range (MBR),Conifer,Rock,"PyQt5.QtCore.QDate(2019, 01, 01)",0.104444444,Point (-117.42475087355433061 36.07944847781441666)
MBR_Conifer_Soil_16,E:\output_dir\11_S_MA_2019_1_24.tif,Mojave Basin and Range (MBR),Conifer,Soil,"PyQt5.QtCore.QDate(2019, 01, 01)",0.271044444,Point (-117.41536512938060355 36.10392323608973442)
MBR_Conifer_Soil_18,E:\output_dir\11_S_MA_2019_1_24.tif,Mojave Basin and Range (MBR),Conifer,Soil,"PyQt5.QtCore.QDate(2019, 01, 01)",0.151144444,Point (-117.41365454272201418 36.1023199782742239)
MBR_Conifer_Soil_20,E:\output_dir\11_S_MA_2019_1_24.tif,Mojave Basin and Range (MBR),Conifer,Soil,"PyQt5.QtCore.QDate(2019, 01, 01)",0.225566667,Point (-117.41389696256112529 36.10337293755237198)
MBR_Conifer_PV_87,E:\output_dir\11_S_MA_2019_4_24.tif,Mojave Basin and Range (MBR),Conifer,PV,"PyQt5.QtCore.QDate(2019, 04, 01)",0.157211111,Point (-117.13418452905921185 36.9611741984142057)
MBR_Conifer_Rock_1,,,,,,,
